10000 1000000
7414 5935 452
9316 3962 292
7039 9658 824
3070 1198 606
5657 3746 101
3986 3299 206
4380 5008 642
5104 2762 594
4045 9600 961
3902 2299 592
6275 8663 549
3051 2062 396
4811 3782 823
3864 6075 26
1921 7723 19
4863 1107 946
9214 3751 63
8683 387 600
4637 3965 65
2269 8922 771
7533 3625 571
9307 5094 828
3289 2160 227
8786 3022 540
6837 4037 898
9156 848 780
1330 8507 299
3937 5384 707
1051 4126 615
3726 7129 798
1968 9353 770
9009 5080 418
4815 8475 674
4363 8700 32
8300 9299 808
6005 2992 664
6754 3422 878
1464 6310 795
8607 3694 914
6210 9805 900
6416 2168 595
1245 1586 26
8544 3163 602
2318 7670 603
2784 5516 157
4331 5809 631
9692 2766 555
3780 543 291
2975 822 525
578 6874 327
4653 2954 989
6559 8087 160
1305 8246 822
7523 356 494
907 5506 510
2012 2111 6
698 5348 643
2290 6715 989
9167 5968 682
1612 1374 392
6518 5602 71
2665 1656 258
1226 2524 885
1064 8330 848
6009 4175 838
2355 2248 408
5776 5580 214
3371 2448 534
2302 7745 514
9150 6333 800
8925 1852 783
2742 5324 781
1636 5437 873
2449 6846 271
5087 3383 930
3844 5157 852
1779 3802 853
915 2312 730
7730 1914 334
8882 7235 874
1837 7482 188
581 8521 670
2337 710 595
1470 8713 445
7614 6706 889
3208 2176 668
7158 8240 130
7471 6039 332
2215 7084 883
7256 5817 708
271 1735 114
3014 9795 595
8092 9729 469
6465 7745 633
9623 1862 446
7536 7137 22
2060 311 942
440 5032 37
7810 8731 722
393 9348 761
5599 7343 610
2362 8862 581
7300 353 793
6224 1819 470
9578 6160 16
1002 2138 191
1130 5051 279
761 6852 47
8124 6572 335
2022 611 683
2473 9365 636
6350 2137 182
148 3450 699
2014 2053 479
6062 8576 35
4302 4712 771
7625 505 132
2430 2466 214
5843 2469 912
6121 6014 230
935 362 801
6246 438 115
3509 7347 889
9736 6264 740
807 7839 145
6212 459 937
137 871 631
421 2001 454
2286 121 122
5344 5615 767
5576 2297 189
9219 8961 319
130 9046 750
5152 6683 810
3829 9765 48
7041 9204 622
2229 1504 547
1656 738 274
7500 8292 799
355 6109 365
2788 4106 314
334 4109 625
7888 3476 533
1219 838 520
2194 8258 610
3320 8951 528
2576 6754 334
4828 6561 481
4369 3492 894
2768 3199 844
4441 1683 703
2227 7881 994
196 2261 21
431 6529 312
6125 7662 17
7531 1876 988
1562 6388 881
6184 8771 428
3870 5530 102
5022 9144 775
9800 8350 43
8913 89 69
1394 364 109
8931 3121 458
1243 952 37
1393 9270 702
8909 7589 372
7801 2032 477
8739 5688 584
5370 6821 8
9543 8234 52
6839 1766 181
1375 1805 414
7268 6271 5
534 7843 353
9064 6338 79
7145 1865 539
5292 4374 58
8683 1530 922
1433 7449 727
8283 9094 664
533 4720 45
5185 4614 606
5056 4899 578
1590 5824 161
2243 4810 100
2652 6388 377
1848 8747 234
7439 9721 680
9395 3406 744
9461 1515 389
4420 8345 738
8742 2939 737
3657 989 881
6556 332 84
1078 7453 930
4470 7358 183
2606 5069 19
3844 5478 685
9971 2262 164
370 1666 79
9908 9328 504
6522 6085 237
4130 1995 911
2443 7416 245
205 621 815
2812 7450 681
466 9048 403
4108 1273 396
8299 5467 933
4024 1417 409
517 1589 93
7220 8632 986
8000 7436 850
1218 4154 287
2732 4961 285
2190 3915 506
4777 2439 671
8767 9464 720
5063 25 342
7388 1764 220
3136 3456 998
9222 5884 435
7774 5104 213
1500 4414 835
8891 4527 65
1818 143 424
5821 300 453
9978 2148 190
4592 6446 831
6382 2014 627
2789 6494 162
3863 8353 585
928 6414 571
2215 827 962
295 4910 939
875 6584 93
803 4596 895
9713 4207 427
398 1246 924
8755 1137 997
8917 5822 481
6608 6556 273
4319 2530 436
895 4086 779
7265 128 371
3207 4575 897
1148 6143 772
1181 9817 643
9023 5793 216
1896 8914 512
3711 9872 217
3311 7103 933
660 3623 453
1909 8170 512
2019 4017 658
4259 8184 266
1824 4447 414
9677 9365 315
5795 6563 485
7035 4320 503
7427 5823 523
1800 8247 630
7116 5967 839
6987 1718 486
1976 7135 945
1547 4753 243
8645 732 618
7277 71 766
6684 7383 324
6533 9721 224
8835 2617 195
7785 1475 455
4987 8246 957
1738 2088 636
3095 9304 347
9206 1475 483
844 1633 32
9954 5394 379
5052 8388 350
455 8323 449
5547 2155 17
6147 2846 552
1252 6256 730
6202 9904 469
6728 8663 79
8266 9289 683
171 2633 953
1460 2247 325
4782 2623 112
8236 4254 580
560 2176 521
3398 5222 253
1611 8458 790
3510 6618 383
506 2100 147
1304 5373 229
638 853 58
6731 9013 200
5565 2393 339
5808 5443 217
6976 9315 32
9467 2532 265
6296 3030 351
3377 2723 714
3324 1994 546
5857 6467 25
5712 6426 923
6690 251 987
2759 853 265
5024 284 703
1425 6278 915
2929 8499 479
36 1878 120
7380 9908 816
6390 2619 489
4470 2226 617
7606 8938 458
5485 2628 502
8559 4826 793
1334 5023 141
7987 5687 343
6741 2692 218
6604 4090 258
3153 6868 549
7458 2437 874
2452 9260 132
446 8178 695
6626 8297 863
702 2287 734
5583 9759 665
8219 9392 462
1894 9247 149
5084 782 489
9471 5332 996
6609 4221 416
9818 4057 317
2009 1079 361
7159 7002 143
3508 518 226
2523 2213 91
1310 5060 349
1191 7071 860
8868 4575 715
860 2607 811
6066 7904 430
5368 3751 688
3670 1743 839
6703 1243 228
2756 7641 487
5516 8498 544
1289 192 994
370 9209 673
8465 9491 682
6186 8643 567
7345 4741 895
565 8076 722
5711 1448 789
7698 8010 615
8342 4899 906
3796 4348 267
5536 3688 260
1521 6452 574
2391 6711 316
1743 6522 715
4834 7775 712
8404 3284 122
2463 2562 303
8566 1696 872
2558 7646 440
523 6003 568
1979 8141 827
517 8742 882
760 4361 109
7680 3287 98
989 9908 423
3668 7182 358
6795 710 83
4403 9650 192
5649 3578 162
584 3713 523
8681 796 302
8440 8602 945
8542 195 796
6077 3468 946
6677 790 99
1481 5533 210
356 3131 600
1766 1101 546
1386 2013 168
8625 3317 590
2771 7596 397
4675 4429 690
857 3753 854
5252 1869 271
3557 5897 36
7284 1284 515
4331 3580 565
116 5707 676
8769 1838 507
416 9512 125
1606 1372 751
2575 1864 747
9087 7966 563
7437 1881 361
4107 1691 681
163 8926 457
246 9089 526
5658 7498 399
8813 9983 143
9920 7883 992
731 5725 509
6749 9826 481
5085 4484 191
9100 9878 329
8278 939 720
9762 3507 352
9890 6636 560
2052 1182 531
2907 6514 582
5841 7771 781
1003 713 883
5511 6412 147
77 1786 62
7692 952 675
5814 7625 658
8629 9327 740
6897 6748 423
5090 4352 668
5954 5393 384
3209 6080 409
9300 6011 644
7182 3969 114
9823 8377 192
3855 748 840
8642 1376 708
9145 6020 743
5857 47 977
9066 2603 2
4098 797 400
1073 7562 278
2748 1864 297
1876 353 161
5327 2956 501
4931 3807 292
1486 8707 146
8783 7882 577
4537 3164 245
984 8228 114
3266 2219 426
8469 8412 858
1969 8712 16
971 2269 100
9821 5272 422
7849 1603 557
1604 2080 759
1219 2291 367
3595 2436 209
3564 8231 141
1747 7319 315
6367 1673 671
2509 7703 656
4426 348 96
8367 916 987
6167 4720 711
6859 8458 353
9424 4906 343
5235 773 573
8914 3443 461
9248 3569 989
2952 2627 51
6092 1116 542
3493 2889 941
9886 6161 235
4139 8418 177
7236 2149 196
5041 6087 596
2282 5211 774
764 6181 663
1904 563 899
326 8041 520
9853 7485 753
8597 6129 695
1442 3486 814
5518 9437 927
6291 5164 281
4353 8432 955
326 6040 856
2960 8328 974
8049 8988 507
4800 5754 506
4368 2228 58
6961 4306 771
6614 5058 110
5262 1386 843
827 4249 855
4009 2928 389
6397 3400 987
2717 9899 928
2071 5131 438
4653 6010 930
9026 3689 252
7910 4237 717
3084 3545 799
1979 4954 393
3868 7445 267
5097 5067 625
1186 7348 153
4404 1133 482
4464 6887 460
9219 4184 516
1046 5926 99
2166 2088 228
5055 6057 988
8668 1010 114
6607 6704 624
2483 3697 901
5911 6547 35
2950 3376 663
6986 328 447
1647 4908 607
8146 7306 15
9912 5153 276
723 1577 427
7359 1209 201
8544 378 786
893 3452 473
4844 6661 760
54 5716 451
2783 6973 774
2767 6291 443
2053 8903 87
4452 3475 479
8672 4668 384
6480 7912 136
2474 6221 908
9389 6741 13
8994 6733 170
1513 3830 34
8829 254 204
2209 1303 790
985 3916 436
5861 3773 857
4858 9452 379
9135 1017 187
3848 772 45
4977 8586 435
2449 9718 367
6733 7363 111
2914 100 37
787 9834 864
5639 7326 910
8720 2153 371
2434 2171 54
9306 230 297
928 2033 7
998 913 872
1162 2187 36
1248 3276 834
1902 3444 263
218 1716 802
2713 3855 858
358 9041 841
2244 338 809
1042 7940 188
401 9140 239
4873 7205 701
4975 4689 723
6833 5512 471
6373 4257 648
207 8776 570
4292 6959 382
2284 2389 271
762 7621 942
6072 9296 964
637 1521 166
4890 1441 952
7416 9227 762
9422 9391 547
9189 2133 162
8858 7867 325
268 9328 487
8682 2595 694
886 2972 277
7731 8918 273
2895 9265 177
1762 2555 291
7572 5745 349
410 2615 913
7751 6297 292
9933 1746 102
4023 1753 115
5895 6607 410
8001 709 7
8501 2568 480
4944 8708 92
1788 9399 584
5162 9802 826
6830 3680 826
9070 6360 918
9217 1719 575
7775 9466 564
6375 7292 43
5853 8440 990
4181 1448 430
4216 3847 298
1682 949 838
676 8837 697
4110 7022 441
8208 7153 908
3959 2813 280
127 2890 169
3004 2223 61
9676 8888 361
9446 4455 849
3408 1695 930
7711 26 386
5546 6263 326
6119 5327 152
4630 8657 973
8309 2317 668
3103 4125 762
2547 2217 405
6544 1697 348
7822 948 74
5588 8956 988
3642 143 897
1071 4312 462
5926 197 412
5411 2180 856
4227 3057 489
2102 1602 588
9699 7320 662
1780 2717 480
2502 4532 667
3181 8383 69
1006 8970 218
3279 9579 599
6505 1393 40
582 6601 870
2497 4614 638
2108 7810 411
1692 3237 339
6566 3640 517
1809 875 58
1577 722 947
7875 4059 49
1659 1482 911
3175 7343 381
9839 55 909
4050 3973 418
5773 7740 672
6507 9455 928
6284 2688 197
5582 2201 431
8115 9709 954
6671 658 963
1985 5383 427
1683 5583 501
1238 2927 417
8415 7793 95
7883 4631 427
6467 5213 384
1949 7102 182
5232 5783 972
398 4661 882
2217 4509 532
1181 4267 393
1587 5027 268
1386 1867 790
3580 8533 385
9277 6336 468
9550 2576 592
117 8133 663
7466 3908 837
3974 9831 69
1467 8304 730
687 2372 76
9667 2517 502
178 3269 308
743 5934 227
4806 1204 264
56 5545 264
8829 8214 973
2537 3046 470
2327 1834 430
3070 597 660
5156 7948 974
2453 2080 76
9913 4302 178
5817 8787 338
5761 2441 956
540 4776 578
6961 6658 641
3860 2496 769
1494 2503 267
3795 9305 504
7990 4086 419
3667 1775 669
1689 1827 476
3849 349 964
2391 590 591
9612 575 712
6224 9747 324
252 8003 951
2816 4273 215
7279 5840 60
1971 709 425
6663 2429 710
4911 1445 894
5282 3412 744
1274 5403 399
2520 2365 27
7366 5033 886
4242 9326 273
6871 1868 140
5799 7224 517
2227 4243 837
5484 1544 60
173 7666 335
6202 289 942
3358 9245 490
6526 4656 634
1881 681 280
6532 8849 948
9620 2283 684
1472 8636 155
8016 4857 763
8846 8825 395
1270 4539 203
3372 1426 213
5154 3361 334
5898 5246 137
2744 1228 266
529 2049 655
4199 3179 924
6148 9496 730
8679 1599 780
2725 6132 634
2648 3765 226
5640 3512 613
9208 3918 623
8854 6168 32
570 869 282
6093 1938 182
6791 542 198
2316 3455 671
8809 3199 941
4792 1246 742
6798 2658 106
6973 567 623
8983 7526 86
4435 4641 993
2508 4647 842
978 4172 483
8224 9268 163
2498 66 814
6027 8356 746
5274 2610 846
1025 312 943
413 6781 612
2066 8782 505
3455 6328 478
39 6653 485
7707 5149 67
2084 9322 159
9786 5016 101
6520 7613 415
4267 4392 242
8528 4695 534
2688 9653 125
2253 4751 775
5134 1397 735
1727 8602 495
6503 5454 180
9772 4520 940
1156 4234 460
7473 8714 321
4503 9381 89
1571 6045 113
6505 9487 800
4507 961 468
3672 1202 902
2407 6372 162
7465 3223 724
4360 2473 572
5316 4406 159
8660 6393 280
9175 6372 696
2312 5646 403
8768 9232 401
3339 5195 501
9543 1580 956
4559 485 759
3329 3747 415
6188 509 419
9431 3380 20
3244 6019 925
6200 7863 962
2591 4212 986
8205 1530 630
1077 1822 813
1657 4586 511
1189 5981 184
5433 2133 126
4892 1596 56
799 2862 29
8359 1390 710
7343 2025 692
1694 4213 303
2174 6328 799
3466 2494 663
4256 8673 796
6407 7556 469
937 7287 935
2888 4916 315
6628 2860 463
3804 5591 14
2372 7424 573
8442 5725 108
261 836 633
4426 6667 473
6358 1334 406
6638 3246 720
2771 8673 291
6364 8068 627
780 404 616
7607 7527 359
5861 5610 937
1647 8064 998
6120 9277 174
9583 8777 255
9809 8488 175
160 6000 649
2493 5199 639
5102 8023 534
2549 261 744
7095 2914 465
6294 4144 908
1895 8378 814
3626 2360 543
1317 6456 351
2300 6829 713
9733 117 799
8771 3423 818
1207 1993 963
565 3446 556
642 8505 953
4285 9109 371
849 1629 665
6723 1382 508
5294 4731 865
8541 3327 41
1512 2307 618
7208 3128 236
7597 2841 461
5964 3938 80
1904 6407 398
9194 1875 81
3541 1337 570
9200 2633 284
3137 2264 120
9565 8729 697
759 6208 885
6411 8807 684
9188 6693 2
9802 3529 996
1024 9697 408
1592 2070 301
1003 4318 353
8448 1977 935
3710 5340 831
7230 1025 276
3321 8539 139
9142 6735 687
2539 5822 538
957 3474 865
1889 1107 583
802 5682 851
3656 2672 605
3818 1808 440
7850 9117 413
6864 4971 694
5552 6356 966
6987 9926 626
1447 9056 744
1385 5756 755
1750 4224 782
7703 295 155
719 2361 824
3709 7052 450
7390 6585 747
746 7588 901
5065 1027 348
5778 4303 283
7143 7123 500
7448 306 334
9467 9811 223
2111 7699 248
141 6393 590
622 2344 190
2474 1485 969
7480 8737 792
3223 3993 454
3633 9766 756
5353 2774 729
9795 2435 913
6519 2002 95
6359 912 689
5712 7336 41
4651 9701 702
1546 4814 150
9636 3984 29
5061 1347 610
5805 201 962
3569 116 867
7666 3519 769
844 3466 137
6486 2832 155
6856 7821 18
365 3861 877
3015 3692 817
8916 9826 539
3942 3404 626
4749 4281 148
9060 4053 282
5983 3783 940
5852 1242 5
5070 9534 133
7421 7712 129
772 832 466
1653 8978 672
4024 7612 787
4418 4609 569
54 3733 877
396 7925 501
2106 7382 910
4635 3458 650
9725 6404 759
7697 2068 655
2390 2946 492
3132 1495 361
1563 5368 11
8921 2509 820
4402 172 795
2308 825 536
7702 5165 88
2307 9319 761
8367 2111 73
6136 7689 326
1013 9352 581
2304 1466 465
2888 573 742
3032 2922 752
1156 5715 37
452 1262 912
2869 6094 600
2714 7725 369
5082 1881 164
4541 1231 495
5220 9010 152
1825 283 232
4430 4906 58
602 2118 447
1907 2899 915
2935 2262 489
2048 424 384
5729 3677 907
177 8633 731
739 5795 590
7229 8888 770
1791 3232 672
3873 9133 687
8878 1685 110
1892 2241 940
3713 5204 504
7343 1955 993
2854 3732 398
1232 184 184
7201 7214 39
5976 4370 351
1406 6710 686
2683 15 271
8024 2089 700
4155 4014 309
1216 1790 399
2369 5235 270
6648 5109 43
3092 1530 745
9581 7407 531
2737 3007 315
1407 6086 114
4869 8299 599
2114 5540 436
104 5212 912
1730 4271 210
6248 6661 614
8402 1383 145
8561 4740 296
5809 9655 960
1937 1472 115
6671 2518 165
666 3449 592
1451 3726 876
8582 9692 141
873 8839 633
3520 6810 672
7159 9754 673
3168 8564 480
6767 5468 333
1752 7206 74
5071 6388 133
7559 8543 102
5012 5574 139
1202 3671 186
1717 2346 490
2386 4819 203
7590 2939 452
102 4987 743
5328 921 966
1897 4211 824
7494 9602 70
6740 5728 937
3505 7752 663
9237 158 980
7304 6263 341
7640 2043 252
5021 9379 226
891 2479 141
7163 7892 192
1137 4000 85
4994 8904 605
4189 6441 717
2245 4492 919
3995 9727 50
3481 39 194
7846 4423 699
6859 2265 891
777 2491 183
6584 425 687
383 6284 176
9237 648 637
831 3179 686
7979 451 444
9279 5227 804
6822 7699 915
5494 1644 78
9938 1214 651
6821 2357 184
4530 3771 72
273 9344 833
75 5695 126
9316 2882 293
8565 3648 67
2415 5538 135
116 2816 61
114 1620 860
8758 1678 242
9720 7313 711
9069 2410 30
2631 6278 200
9834 7164 903
7763 7990 14
3726 7423 833
3074 4507 330
5165 2884 91
4008 9597 841
9926 6908 291
8715 1014 892
2230 4100 81
1667 6855 473
1542 6120 27
8514 2902 600
3346 5875 838
9489 6677 124
6599 1264 107
252 8452 922
2665 6563 487
5383 2186 492
1475 626 424
2188 4732 75
2299 904 811
7774 1536 90
5855 228 709
1108 4179 519
2552 1713 378
1531 403 35
2149 5270 580
1996 5684 714
8506 7450 60
9085 2402 863
2174 2121 894
2901 9108 711
3002 6324 558
1189 654 141
218 304 596
214 8141 809
5484 9764 82
328 9329 835
8677 1184 870
2882 9504 998
4969 3771 486
1725 9948 29
3212 383 755
5347 9395 873
67 1429 320
502 8503 133
6848 8945 298
4229 6284 599
2648 1248 247
999 2160 226
6736 4378 400
7004 1553 996
3511 7402 452
6960 2560 940
4564 6334 98
4894 4315 391
1807 8796 706
9530 4129 559
5513 8205 612
8721 4085 540
922 4013 483
6849 5852 389
9556 1070 594
2232 4365 809
1980 3638 285
7836 92 777
1537 7279 359
1027 1321 843
1150 6421 756
952 194 546
5635 6880 299
1131 5054 209
710 9079 465
4616 5969 901
3317 6935 594
2457 8253 642
4407 6802 466
552 5547 863
3257 2949 857
9604 7452 195
2840 6435 291
7829 9215 570
3908 6452 755
814 5624 972
8673 5 637
3929 3958 981
5026 4087 485
167 7396 476
6330 5500 301
9389 1309 113
2202 7664 438
9606 2832 706
2732 2696 287
4185 5665 609
6139 7295 107
6877 3339 846
9136 4662 988
574 2415 490
9753 3805 545
9181 3987 487
2456 3357 601
8394 6773 893
8086 7354 291
2743 7942 703
4905 3429 921
8766 6043 161
8577 8597 845
2444 9009 227
4810 709 53
8072 779 339
8368 5438 433
6635 8575 288
820 4099 562
8893 4072 906
7255 9922 554
6957 6794 555
641 2981 4
5922 3356 687
5761 1811 31
2140 9876 791
5943 9715 953
2213 7918 131
4749 4328 921
4994 6670 645
8553 4048 248
642 1472 788
8230 9857 448
9416 2440 855
7258 3329 882
9801 4037 409
3019 8888 394
9373 357 862
4819 7521 337
3543 6964 899
246 6983 453
7781 799 637
3430 282 767
9049 8226 135
7344 1141 470
6164 8849 942
2069 3847 553
5415 2171 994
568 5144 641
1305 3084 899
2898 1813 550
886 2693 108
6046 8045 516
4255 3651 664
160 4274 818
247 1692 169
9448 7165 95
5124 560 336
3659 478 999
6638 1320 371
9004 3516 46
1793 9081 389
5353 6150 301
5827 7898 60
4608 1616 601
8149 426 620
639 6397 728
4048 7697 148
2800 7264 34
93 614 152
8774 626 843
5660 1979 302
8796 5627 201
2034 9687 853
1980 3161 531
9550 3044 408
5735 2204 12
5495 4777 537
4866 7821 830
2215 3780 666
3484 6279 602
8692 5065 39
4122 5526 821
5259 737 535
1175 1487 177
8094 743 820
4784 5503 575
4264 4905 482
5694 525 845
8068 4455 94
6769 9654 855
4977 4115 779
1360 7957 452
2394 9508 33
5219 5214 8
9407 2887 435
978 3678 55
475 3947 372
621 7920 366
6605 6435 116
8333 5531 178
854 1989 676
2750 5279 928
8524 8024 941
6267 9712 919
8694 1936 407
3898 6736 517
807 9634 892
413 6835 136
8881 6989 988
8692 8993 980
943 2976 605
4899 9622 635
8513 961 930
1044 5705 720
1598 5250 643
2992 5550 962
6573 4126 838
5503 8588 394
6484 7790 556
9344 6054 650
103 5066 193
8528 3630 481
5985 3065 162
1517 2249 363
2981 1674 578
901 9438 695
2199 3237 632
9972 3723 497
8429 6461 24
1738 3091 412
7209 1303 745
4940 4927 962
6650 6589 282
1981 6085 560
4290 2938 832
5969 3920 960
7285 1078 571
2349 5736 573
8109 9606 219
4123 4722 392
250 9961 712
9702 173 491
5213 7670 930
6754 4206 100
668 2330 940
8950 6731 903
9788 207 839
9017 181 645
7127 4133 135
5653 810 629
2704 5684 958
8320 1719 149
7767 4871 514
3695 2706 380
409 4628 280
5264 1168 123
5223 8031 15
6412 3470 83
9529 745 706
5610 2137 423
9772 7632 7
7260 7167 562
2042 7507 492
8485 4100 336
1818 1889 187
5135 4088 171
5170 2329 95
2599 6722 715
5823 223 64
6461 4948 394
4884 1498 582
155 2962 686
4550 4130 885
6398 613 314
3158 6316 168
6231 7315 93
6918 3082 494
4637 7505 569
623 2050 861
9002 2730 893
5445 1518 726
922 6978 254
7095 7235 664
1323 3733 182
3925 385 921
5766 1701 137
8208 6648 221
3392 6902 197
124 2546 473
4746 9483 283
5105 3291 659
9922 8643 298
5816 1157 898
4733 1006 56
9270 4415 835
8144 1879 142
3398 8551 975
7688 5093 121
4522 5117 562
2238 9305 544
5875 7604 358
4097 307 685
2088 774 659
9565 3288 42
7757 1442 50
5174 1555 794
8509 3453 25
9124 2800 911
1985 5018 928
3631 5300 1000
1336 8608 932
6007 2419 487
8239 4083 460
9343 8353 246
8346 6095 58
5669 9336 630
9935 1557 189
9742 2120 881
3022 2210 561
2771 734 400
1400 5142 911
5698 2246 409
1003 6529 594
784 5680 784
828 4170 24
7668 2753 445
3514 3861 512
3637 646 571
2232 3203 989
5779 5810 929
7450 7993 169
6208 4964 544
4735 3804 606
4625 9490 462
4351 9824 460
5043 4846 834
2413 5344 583
4775 7916 971
3379 4161 540
3702 9993 425
9679 7832 257
196 7450 18
3922 7409 836
9179 1418 797
476 5596 249
2389 9863 973
1835 310 396
1147 6792 571
713 5142 847
6590 1674 281
3244 243 668
817 6899 972
9332 7253 890
6961 2366 427
1048 4968 559
8537 2248 356
6481 3380 930
1083 4473 290
1374 1837 49
767 6821 239
5724 9521 478
7896 2165 45
2977 9277 260
2763 9703 314
8792 7292 640
6150 6868 821
8291 7970 943
4273 4192 96
3768 5253 694
6292 9372 581
7161 4063 233
5155 4797 403
1226 5253 786
4558 9662 992
6823 8451 77
2666 6538 78
915 1329 372
8334 3974 195
1911 156 342
8927 2619 360
2434 8559 335
1550 4759 556
946 457 166
8257 1500 202
5227 9045 266
5800 3044 74
5751 8115 474
5998 5601 915
6319 620 608
8725 9975 535
7586 1262 1000
7565 4834 43
3991 1604 754
7647 4841 611
183 6745 587
1536 6093 191
4616 4436 811
5510 1325 402
4203 8689 398
8254 6974 444
871 2088 189
1485 9274 751
7628 2095 960
2835 8589 654
5256 7212 962
6766 4934 602
4925 7575 487
5010 916 474
9342 8060 174
3350 1277 903
9614 9222 737
2653 2670 314
9287 1578 612
5830 3063 769
186 8407 703
9134 8049 33
8644 2192 30
148 553 174
4601 1563 435
1822 9561 175
8522 2840 497
5856 4214 132
9959 1982 171
9233 7610 70
944 6139 424
991 5427 932
8207 2571 774
7405 2188 245
3413 8406 152
1050 7346 620
1595 7926 136
1300 1798 380
9332 8274 708
8912 189 843
2610 7733 985
3019 9320 489
5042 453 218
59 4634 840
2332 8634 619
1445 8952 714
3795 8531 598
8723 9896 19
503 9955 523
123 5510 27
3960 6313 318
2141 3873 991
5924 4891 487
803 4697 761
7395 9872 702
7511 3753 783
3771 4217 874
2679 7889 279
4223 2114 21
3696 4975 576
1663 773 164
7660 7172 225
1517 7465 1000
1774 7501 775
1796 6698 622
1091 9833 54
1032 265 910
2621 5024 509
4737 8557 189
8262 1903 994
7479 2204 956
575 6671 71
2769 6542 980
7226 7646 188
1265 9605 202
3638 194 241
5135 4096 119
4368 8601 645
6107 4221 653
8094 8862 853
5733 2570 357
8835 730 826
3773 2775 542
4702 7310 143
3425 2088 447
5615 7005 803
8629 5687 708
8835 7352 885
6725 2756 935
3854 6454 644
3653 5633 54
7741 104 445
6169 6880 602
1901 5720 298
7214 4198 291
8968 3854 302
1294 4074 337
1327 1905 697
3499 1739 550
3266 4507 339
1573 4840 916
84 2397 30
200 1000 236
5274 4180 420
4369 4626 25
47 3565 304
6472 1654 777
3757 1417 654
329 1668 820
8409 8000 3
9134 3655 946
2991 1962 950
4840 5053 696
444 4482 240
7916 8864 356
3695 6325 921
6085 1880 837
4783 7943 694
4978 3056 229
6325 8645 623
9758 2710 634
3098 3836 420
7219 2940 681
2228 278 857
2308 932 365
7698 97 203
9476 9230 705
1123 3727 367
7106 4039 232
1001 2297 455
5938 8589 983
3077 1549 463
3721 6275 935
5471 1343 814
7867 8835 685
2479 5705 498
6507 1403 608
9626 5324 820
8936 7011 255
2630 5395 239
2438 446 419
1511 2693 645
3989 5778 686
4523 6655 246
1873 4248 10
3529 1177 835
218 6517 47
808 6701 565
2057 5844 634
59 2349 858
7325 4134 356
1167 2460 70
1996 7382 395
5095 5182 729
7200 1468 441
7351 90 245
9215 488 125
7964 9007 972
6312 3107 713
217 8345 756
8013 937 564
7159 5929 647
6425 7242 338
5338 4732 312
331 980 885
9220 3125 332
191 3078 807
